REGION,SUMMARY,GRANTS,Region Correct for this Grant tab item?
NE,Genetic Resources,Genetic Resources,
NE,Winthrop,Winthrop,
NE,Volunteer Fire Assistance ,Volunteer Fire Assistance,
NE,State Fire Assistance ,State Fire Assistance,
NE,Forest Stewardship ,Forest Stewardship,
NE,Volunteer Fire Assistance ,Volunteer Fire Assistance - VFA,
NE,State Fire Assistance ,State Fire Assistance - SFA,
NE,State Fire Assistance ,State Fire Assistance-NFP,
NE,Urban and Community Forest,Urban & Community Forestry,
PC,Collins/Goat Point ,Collins/Goat Pt,
NE,State Fire Assistance ,State Fire Assitance-NFP,
PC,LSR - Chehalis River Basin - Gibbs,LSR - Chehalis River Basin,
DIV,Urban & Community Forestry - Lampman,Urban & Community Forestry - UCF,
DIV,Forest Health Monitoring - Ripley,Forest Health Monitoring,
DIV,Urban & Community Forestry - Lampman,Urban & Community Forestry,
DIV,Volunteer Fire Assistance - Johnston,Volunteer Fire Assistance - VFA,
NE,WSFM - Upper Kettle - Boles,WSFM - Upper Kettle,
NE,Volunteer Fire Assistance ,Volunteer Fire Assistance-Recurrent,
DIV,Volunteer Fire Assistance - Johnston,Volunteer Fire Assistance,
DIV,Forest Stewardship - Gibbs,Forest Stewardship,
NE,WSFM - Clear Lake - Boles,WSFM - Clear Lake,
NE,State Fire Assistance ,State Fire Assistance - Recurrent,
SE,WSFM - West Klickitat,West Klickitat,
SE,WSFM - East Box Canyon - Chambers,WSFM - East Box Canyon,
NE,Urban and Community Forest,Urban & Community Forestry - UCF,
DIV,Volunteer Fire Assistance - Johnston,Volunteer Fire Assistance-Recurrent,
DIV,CPG - Urban & Community Forestry - Lampman,Urban & Community Forestry - UCF,
SE,NFP WUI Upper Kittitas,Upper Kittitas,
DIV,State Fire Assistance - Kaikkonen,State Fire Assistance,
SE,WSFM - North Yakima - Chambers,WSFM - North Yakima,
NE, Stewardship ,Forest Stewardship,
SE,WSFM - Leavenworth - Chambers,WSFM - Leavenworth,
DIV,CPG - Urban & Community Forestry - Lampman,Urban & Community Forestry,
DIV,Urban & Community Forestry - Lampman,Urban & Community Forestry-Inmate Education,
DIV,State Fire Assistance - Kaikkonen,State Fire Assistance-NFP,
NE,Urban and Community Forest,Regional Urban & Community Forestry,
NE,NFP WUI Metaline Pend Oreille,Metaline (Pend Oreille Cty),
DIV,State Fire Assistance - Kaikkonen,State Fire Assistance-Recurrent,
DIV,CPG - Volunteer Fire Assistance - Johnston,Volunteer Fire Assistance,
SE,WSFM SE - Upper Kittitas,WSFM - Upper Kettle,
NE,Genetics Resource - DeBell,Genetic Resources,
NE,Volunteer Fire Assistance ,Volunteer Fire Assistance-National Fire Plan,
SE,WSFM SE - Upper Kittitas,Upper Kittitas,
DIV,Forest Stewardship - Gibbs,Forest Stewardship - Resource Mgmt,
DIV,Urban & Community Forestry - Lampman,Regional Urban & Community Forestry,
DIV,State Fire Assistance - Kaikkonen,State Fire Assitance-Recurrent,
DIV,CPG - Volunteer Fire Assistance - Johnston,Volunteer Fire Assistance-Recurrent,
DIV,CPG - State Fire Assistance - Kaikkonen,State Fire Assistance - Recurrent,
DIV,CPG - Forest Stewardship - Gibbs,Forest Stewardship,
SE,WSFM - Chiwawa - Chambers,WSFM - Chiwawa,
SE,West Klickitat - Chambers,West Klickitat,
NE,Forest Stewardship ,Forest Stewardship - Resource Mgmt,
SE,NFP WUI Horseshoe Stevens,Horseshoe (Stevens Cty),
NE,NFP WUI Sawtooth Okanogan,Sawtooth (Okanogan Cty),
SE,Upper East Klickitat - Chambers,Upper E Klickitat,
NE,Volunteer Fire Assistance ,State Fire Assistance-NFP,
DIV,CPG - Urban & Community Forestry - Lampman,Urban & Community Forestry-Inmate Education,
DIV,CPG - Urban & Community Forestry - Lampman,Regional Urban & Community Forestry,
DIV,CPG - State Fire Assistance - Kaikkonen,State Fire Assistance,
NE,2015 WSFM - Diamond Lake - Boles,WSFM-Diamond Lake,
SE,WSFM SE - Upper Kittitas,WSFM Hazard Mitigation-Upper Kittitas,
DIV,Forest Health Protect (Monitor/Co-op),Forest Health Monitoring,
NE,Forest Health,Forest Health Cooperative,
SE,NFP WUI SE - Chumstick,NFP WUI Community Assist-Chumstick,
NE,Urban and Community Forest,Urban & Community Forestry-Inmate Education,
SE,NFP WUI East Klickitat,Upper E Klickitat,
DIV,CPG - Forest Stewardship - Gibbs,Forest Stewardship - Resource Mgmt,
SE,Upper Kittatas - Chambers,Upper Kittitas,
SE,Upper KittItas - Chambers,Upper Kittitas,
SE,East Chelan - Chambers,East Chelan,
